
Ago		341.74	7	527.16	17	1096.78	17	593.58	6	247.44	4	930.66	4	1231.80	17	33.33	2	199.56	10

Set		333.23	8	542.88	19	1096.78	17	571.43	11	185.58	7	953.58	2	1241.16	16	58.35	0	235.56	4

Out		307.50	11	424.02	34	827.86	56	408.34	25	54.90	13	688.54	28	932.14	48	35.37	2	256.20	0

Nov		341.46	7	413.02	34	835.28	55	388.96	28	73.20	12	736.39	23	896.70	52	35.37	2	256.20	0

Dez		324.48	9	456.55	33	798.18	60	376.04	30	18.30	15	659.83	31	967.58	44	43.19	1	256.20	0

Jan		282.03	14	434.06	32	783.34	62	388.96	28	73.20	12	698.11	27	941.00	47	43.19	1	256.20	0

Fev		307.50	11	369.97	36	790.76	61	414.80	24	109.80	10	707.68	26	949.86	46	35.37	2	256.20	0

Mar		282.03	14	369.48	35	798.18	60	395.42	27	128.10	9	755.53	21	914.42	50	43.19	1	256.20	0

Abr		324.48	9	402.50	35	790.76	61	388.96	28	73.20	12	736.39	23	976.44	43	51.00	0	256.20	0

Mai		358.76	5	488.04	20	1096.78	17	580.29	9	268.06	3	919.20	5	1241.16	16	45.84	1	223.56	6

Jun		324.72	9	533.64	20	1142.13	12	549.28	16	185.58	7	873.36	9	1287.96	11	33.33	2	211.56	8

Jul		316.21	10	501.60	21	1078.64	19	584.72	8	226.82	5	884.82	8	1241.16	16	33.33	2	217.56	7

Ago		324.72	9	561.96	12	1114.92	15	575.86	10	268.06	3	873.36	9	1194.36	21	33.33	2	223.56	6

Set		324.72	9	561.36	17	1096.78	17	589.15	7	185.58	7	942.12	3	1231.80	17	45.84	1	205.56	9

Out		332.97	8	402.01	34	835.28	55	414.80	24	91.50	11	678.97	29	870.12	55	43.19	1	256.20	0

Nov		299.01	12	424.51	35	790.76	61	414.80	24	36.60	14	726.82	24	914.42	50	51.00	0	256.20	0

Dez		315.99	10	402.01	34	827.86	56	401.88	26	91.50	11	736.39	23	994.16	41	43.19	1	256.20	0

Jan		307.50	11	402.01	34	820.44	57	401.88	26	91.50	11	707.68	26	941.00	47	35.37	2	256.20	0

Fev		315.99	10	413.02	34	761.08	65	414.80	24	73.20	12	726.82	24	905.56	51	43.19	1	256.20	0

